RM,LSTAT,PTRATIO,MEDV
5879,17.58,19.1,3948
5986,14.81,19.1,4494
5613,27.26,19.1,3297
5693,17.19,21.2,3402
6431,15.39,21.2,3.78
5637,18.34,21.2,3003
6458,12.6,21.2,4032
6326,12.26,21.2,4116
6372,11.12,21.2,4.83
5822,15.03,21.2,3864
5757,17.31,21.2,3276
6335,16.96,21.2,3801
5942,16.9,21.2,3654
6454,14.59,21.2,3591
5857,21.32,21.2,2793
6151,18.46,21.2,3738
6174,24.16,21.2,2.94
5019,34.41,21.2,3024
5403,26.82,14.7,2814
5468,26.42,14.7,3276
4903,29.29,14.7,2478
6.13,27.8,14.7,2898
5628,16.65,14.7,3276
4926,29.53,14.7,3066
5186,28.32,14.7,3738
5597,21.45,14.7,3234
6122,14.1,14.7,4515
5404,13.28,14.7,4116
5012,12.12,14.7,3213
5709,15.79,14.7,4074
6129,15.12,14.7,3.57
6152,15.02,14.7,3276
5272,16.14,14.7,2751
6943,4.59,14.7,8673
6066,6.43,14.7,5103
6.51,7.39,14.7,4893
6.25,5.5,14.7,5.67
5854,11.64,14.7,4767
6101,9.81,14.7,5.25
5877,12.14,14.7,4998
6319,11.1,14.7,4998
6402,11.32,14.7,4683
5875,14.43,14.7,3654
5.88,12.03,14.7,4011
5572,14.69,16.6,4851
6416,9.04,16.6,4956
5859,9.64,16.6,4746
6546,5.33,16.6,6174
6.02,10.11,16.6,4872
6315,6.29,16.6,5166
6.86,6.92,16.6,6279
6.98,5.04,17.8,7812
7765,7.56,17.8,8358
6144,9.45,17.8,7602
7155,4.82,17.8,7959
6563,5.68,17.8,6825
5604,13.98,17.8,5544
6153,13.15,17.8,6216
6782,6.68,15.2,6.72
6556,4.56,15.2,6258
7185,5.39,15.2,7329
6951,5.1,15.2,7.77
6739,4.69,15.2,6405
7178,2.87,15.2,7644
6.8,5.03,15.6,6531
6604,4.38,15.6,6111
7287,4.08,12.6,6993
7107,8.61,12.6,6363
7274,6.62,12.6,7266
6975,4.56,17.0,7329
7135,4.45,17.0,6909
6162,7.43,14.7,5061
7.61,3.11,14.7,8883
7853,3.81,14.7,10185
5891,10.87,18.6,4746
6326,10.97,18.6,5124
5783,18.06,18.6,4725
6064,14.66,18.6,5124
5344,23.09,18.6,4.2
5.96,17.27,18.6,4557
5404,23.98,18.6,4053
5807,16.03,18.6,4704
6375,9.38,18.6,5901
5412,29.55,18.6,4977
6182,9.47,18.6,5.25
5888,13.51,16.4,4893
6642,9.69,16.4,6027
5951,17.92,16.4,4515
6373,10.5,16.4,4.83
6951,9.71,17.4,5607
6164,21.46,17.4,4557
6879,9.93,17.4,5775
6618,7.6,17.4,6321
8266,4.14,17.4,9408
8.04,3.13,17.4,7896
7163,6.36,17.4,6636
7686,3.92,17.4,9807
6552,3.76,17.4,6615
5981,11.65,17.4,5103
7412,5.25,17.4,6657
8337,2.47,17.4,8757
8247,3.95,17.4,10143
6726,8.05,17.4,6.09
6086,10.88,17.4,5.04
6631,9.54,17.4,5271
7358,4.73,17.4,6615
6481,6.36,16.6,4977
6606,7.37,16.6,4893
6897,11.38,16.6,4.62
6095,12.4,16.6,4221
6358,11.22,16.6,4662
6393,5.19,16.6,4977
5593,12.5,19.1,3696
5605,18.46,19.1,3885
6108,9.16,19.1,5103
6226,10.15,19.1,4305
6433,9.52,19.1,5145
6718,6.56,19.1,5502
6487,5.9,19.1,5124
6438,3.59,19.1,5208
6957,3.53,19.1,6216
8259,3.54,19.1,8988
6108,6.57,16.4,4599
5876,9.25,16.4,4389
7454,3.11,15.9,9.24
7333,7.79,13.0,7.56
6842,6.9,13.0,6321
7203,9.59,13.0,7098
7.52,7.26,13.0,9051
8398,5.91,13.0,10248
7327,11.25,13.0,6.51
7206,8.1,13.0,7665
5.56,10.45,13.0,4788
7014,14.79,13.0,6447
7.47,3.16,13.0,9135
5.92,13.65,18.6,4347
5856,13.0,18.6,4431
6.24,6.59,18.6,5292
6538,7.73,18.6,5124
7691,6.58,18.6,7392
6758,3.53,17.6,6804
6854,2.98,17.6,6.72
7267,6.05,17.6,6972
6826,4.16,17.6,6951
6482,7.19,17.6,6111
6812,4.85,14.9,7371
7.82,3.76,14.9,9534
6968,4.59,14.9,7434
7645,3.01,14.9,9.66
7088,7.85,15.3,6762
6453,8.23,15.3,4.62
6.23,12.93,18.2,4221
6209,7.14,16.6,4872
6315,7.6,16.6,4683
6565,9.51,16.6,5208
6861,3.33,19.2,5985
7148,3.56,19.2,7833
6.63,4.7,19.2,5859
6127,8.58,16.0,5019
6009,10.4,16.0,4557
6678,6.27,16.0,6006
6549,7.39,16.0,5691
5.79,15.84,16.0,4263
6345,4.97,14.8,4725
7041,4.74,14.8,6.09
6871,6.07,14.8,5208
6.59,9.5,16.1,4.62
6495,8.67,16.1,5544
6982,4.86,16.1,6951
7236,6.93,18.4,7581
6616,8.93,18.4,5964
7.42,6.47,18.4,7014
6849,7.53,18.4,5922
6635,4.54,18.4,4788
5972,9.97,18.4,4263
4973,12.64,18.4,3381
6122,5.98,18.4,4641
6023,11.72,18.4,4074
6266,7.9,18.4,4536
6567,9.28,18.4,4998
5705,11.5,18.4,3402
5914,18.33,18.4,3738
5782,15.94,18.4,4158
6382,10.36,18.4,4851
6113,12.73,18.4,4.41
6426,7.2,19.6,4998
6376,6.87,19.6,4851
6041,7.7,19.6,4284
5708,11.74,19.6,3885
6415,6.12,19.6,5.25
6431,5.08,19.6,5166
6312,6.15,19.6,4.83
6083,12.79,19.6,4662
5868,9.97,16.9,4053
6333,7.34,16.9,4746
6144,9.09,16.9,4158
5706,12.43,16.9,3591
6031,7.83,16.9,4074
6316,5.68,20.2,4662
6.31,6.75,20.2,4347
6037,8.01,20.2,4431
5869,9.8,20.2,4095
5895,10.56,20.2,3885
6059,8.51,20.2,4326
5985,9.74,20.2,3.99
5968,9.29,20.2,3927
7241,5.49,15.5,6867
6.54,8.65,15.9,3465
6696,7.18,17.6,5019
6874,4.61,17.6,6552
6014,10.53,18.8,3675
5898,12.67,18.8,3612
6516,6.36,17.9,4851
6635,5.99,17.0,5145
6939,5.89,19.7,5586
6.49,5.98,19.7,4809
6579,5.49,18.3,5061
5884,7.79,18.3,3906
6728,4.5,17.0,6321
5663,8.05,22.0,3822
5936,5.57,22.0,4326
6212,17.6,20.2,3738
6395,13.27,20.2,4557
6127,11.48,20.2,4767
6112,12.67,20.2,4746
6398,7.79,20.2,5.25
6251,14.19,20.2,4179
5362,10.19,20.2,4368
5803,14.64,20.2,3528
3561,7.12,20.2,5775
4963,14.0,20.2,4599
3863,13.33,20.2,4851
4906,34.77,20.2,2898
4138,37.97,20.2,2898
7313,13.44,20.2,3.15
6649,23.24,20.2,2919
6794,21.24,20.2,2793
6.38,23.69,20.2,2751
6223,21.78,20.2,2142
6968,17.21,20.2,2184
6545,21.08,20.2,2289
5536,23.6,20.2,2373
5.52,24.56,20.2,2583
4368,30.63,20.2,1848
5277,30.81,20.2,1512
4652,28.28,20.2,2205
5.0,31.99,20.2,1554
4.88,30.62,20.2,2142
5.39,20.85,20.2,2415
5713,17.11,20.2,3171
6051,18.76,20.2,4872
5036,25.68,20.2,2037
6193,15.17,20.2,2898
5887,16.35,20.2,2667
6471,17.12,20.2,2751
6405,19.37,20.2,2625
5747,19.92,20.2,1785
5453,30.59,20.2,1.05
5852,29.97,20.2,1323
5987,26.77,20.2,1176
6343,20.32,20.2,1512
6404,20.31,20.2,2541
5349,19.77,20.2,1743
5531,27.38,20.2,1785
5683,22.98,20.2,1.05
4138,23.34,20.2,2499
5608,12.13,20.2,5859
5617,26.4,20.2,3612
6852,19.78,20.2,5775
5757,10.11,20.2,3.15
6657,21.22,20.2,3612
4628,34.37,20.2,3759
5155,20.08,20.2,3423
4519,36.98,20.2,1.47
6434,29.05,20.2,1512
6782,25.79,20.2,1575
5304,26.64,20.2,2184
5957,20.62,20.2,1848
6824,22.74,20.2,1764
6411,15.02,20.2,3507
6006,15.7,20.2,2982
5648,14.1,20.2,4368
6103,23.29,20.2,2814
5565,17.16,20.2,2457
5896,24.39,20.2,1743
5837,15.69,20.2,2142
6202,14.52,20.2,2289
6193,21.52,20.2,2.31
6.38,24.08,20.2,1995
6348,17.64,20.2,3045
6833,19.69,20.2,2961
6425,12.03,20.2,3381
6436,16.22,20.2,3003
6208,15.17,20.2,2457
6629,23.27,20.2,2814
6461,18.05,20.2,2016
6152,26.45,20.2,1827
5935,34.02,20.2,1764
5627,22.88,20.2,2688
5818,22.11,20.2,2205
6406,19.52,20.2,3591
6219,16.59,20.2,3864
6485,18.85,20.2,3234
5854,23.79,20.2,2268
6459,23.98,20.2,2478
6341,17.79,20.2,3129
6251,16.44,20.2,2646
6185,18.13,20.2,2961
6417,19.31,20.2,2.73
6749,17.44,20.2,2814
6655,17.73,20.2,3192
6297,17.27,20.2,3381
7393,16.74,20.2,3738
6728,18.71,20.2,3129
6525,18.13,20.2,2961
5976,19.01,20.2,2667
5936,16.94,20.2,2835
6301,16.23,20.2,3129
6081,14.7,20.2,4.2
6701,16.42,20.2,3444
6376,14.65,20.2,3717
6317,13.99,20.2,4095
6513,10.29,20.2,4242
6209,13.22,20.2,4494
5759,14.13,20.2,4179
5952,17.15,20.2,3.99
6003,21.32,20.2,4011
5926,18.13,20.2,4011
5713,14.76,20.2,4221
6167,16.29,20.2,4179
6229,12.87,20.2,4116
6437,14.36,20.2,4872
6.98,11.66,20.2,6258
5427,18.14,20.2,2898
6162,24.1,20.2,2793
6484,18.68,20.2,3507
5304,24.91,20.2,2.52
6185,18.03,20.2,3066
6229,13.11,20.2,4494
6242,10.74,20.2,4.83
6.75,7.74,20.2,4977
7061,7.01,20.2,5.25
5762,10.42,20.2,4578
5871,13.34,20.2,4326
6312,10.58,20.2,4452
6114,14.98,20.2,4011
5905,11.45,20.2,4326
5454,18.06,20.1,3192
5414,23.97,20.1,1.47
5093,29.68,20.1,1701
5983,18.07,20.1,2856
5983,13.35,20.1,4221
5707,12.01,19.2,4578
5926,13.59,19.2,5145
5.67,17.6,19.2,4851
5.39,21.14,19.2,4137
5794,14.1,19.2,3843
6019,12.92,19.2,4452
5569,15.1,19.2,3675
6027,14.33,19.2,3528
6593,9.67,21.0,4704
6.12,9.08,21.0,4326
6976,5.64,21.0,5019
6794,6.48,21.0,4.62
