RM;LSTAT;PTRATIO;MEDV;normal;normal
6.302;6.72;19.0;520800;5,208;
6.167;7.51;19.0;480900;4,809;
6.389;9.62;18.5;501900;5,019;
6.63;6.53;18.5;558600;5,586;
6.015;12.86;18.5;472500;4,725;
6.121;8.44;18.5;466200;4,662;
7.007;5.5;17.8;495600;4,956;
7.079;5.7;17.8;602700;6,027;
6.417;8.81;17.8;474600;4,746;
6.405;8.2;17.8;462000;4,62;
6.442;8.16;18.2;480900;4,809;
6.211;6.21;18.2;525000;5,25;
6.249;10.59;18.2;432600;4,326;
6.625;6.65;18.0;596400;5,964;
6.163;11.34;18.0;449400;4,494;
8.069;4.21;18.0;812700;8,127;
7.82;3.57;18.0;919800;9,198;
7.416;6.19;18.0;697200;6,972;
6.727;9.42;20.9;577500;5,775;
6.781;7.67;20.9;556500;5,565;
6.405;10.63;20.9;390600;3,906;
6.137;13.44;20.9;405300;4,053;
6.167;12.33;20.9;422100;4,221;
5.851;16.47;20.9;409500;4,095;
5.836;18.66;20.9;409500;4,095;
6.127;14.09;20.9;428400;4,284;
6.474;12.27;20.9;415800;4,158;
6.229;15.55;20.9;407400;4,074;
6.195;13.0;20.9;455700;4,557;
6.715;10.16;17.8;478800;4,788;
5.913;16.21;17.8;394800;3,948;
6.092;17.09;17.8;392700;3,927;
6.254;10.45;17.8;388500;3,885;
5.928;15.76;17.8;384300;3,843;
6.176;12.04;17.8;445200;4,452;
6.021;10.3;17.8;403200;4,032;
5.872;15.37;17.8;428400;4,284;
5.731;13.61;17.8;405300;4,053;
5.87;14.37;19.1;462000;4,62;
6.004;14.27;19.1;426300;4,263;
5.961;17.93;19.1;430500;4,305;
5.856;25.41;19.1;363300;3,633;
5.879;17.58;19.1;394800;3,948;
5.986;14.81;19.1;449400;4,494;
5.613;27.26;19.1;329700;3,297;
5.693;17.19;21.2;340200;3,402;
6.431;15.39;21.2;378000;3,78;
5.637;18.34;21.2;300300;3,003;
6.458;12.6;21.2;403200;4,032;
6.326;12.26;21.2;411600;4,116;
6.372;11.12;21.2;483000;4,83;
5.822;15.03;21.2;386400;3,864;
5.757;17.31;21.2;327600;3,276;
6.335;16.96;21.2;380100;3,801;
5.942;16.9;21.2;365400;3,654;
6.454;14.59;21.2;359100;3,591;
5.857;21.32;21.2;279300;2,793;
6.151;18.46;21.2;373800;3,738;
6.174;24.16;21.2;294000;2,94;
5.019;34.41;21.2;302400;3,024;
5.403;26.82;14.7;281400;2,814;
5.468;26.42;14.7;327600;3,276;
4.903;29.29;14.7;247800;2,478;
6.13;27.8;14.7;289800;2,898;
5.628;16.65;14.7;327600;3,276;
4.926;29.53;14.7;306600;3,066;
5.186;28.32;14.7;373800;3,738;
5.597;21.45;14.7;323400;3,234;
6.122;14.1;14.7;451500;4,515;
5.404;13.28;14.7;411600;4,116;
5.012;12.12;14.7;321300;3,213;
5.709;15.79;14.7;407400;4,074;
6.129;15.12;14.7;357000;3,57;
6.152;15.02;14.7;327600;3,276;
5.272;16.14;14.7;275100;2,751;
6.943;4.59;14.7;867300;8,673;
6.066;6.43;14.7;510300;5,103;
6.51;7.39;14.7;489300;4,893;
6.25;5.5;14.7;567000;5,67;
5.854;11.64;14.7;476700;4,767;
6.101;9.81;14.7;525000;5,25;
5.877;12.14;14.7;499800;4,998;
6.319;11.1;14.7;499800;4,998;
6.402;11.32;14.7;468300;4,683;
5.875;14.43;14.7;365400;3,654;
5.88;12.03;14.7;401100;4,011;
5.572;14.69;16.6;485100;4,851;
6.416;9.04;16.6;495600;4,956;
5.859;9.64;16.6;474600;4,746;
6.546;5.33;16.6;617400;6,174;
6.02;10.11;16.6;487200;4,872;
6.315;6.29;16.6;516600;5,166;
6.86;6.92;16.6;627900;6,279;
6.98;5.04;17.8;781200;7,812;
7.765;7.56;17.8;835800;8,358;
6.144;9.45;17.8;760200;7,602;
7.155;4.82;17.8;795900;7,959;
6.563;5.68;17.8;682500;6,825;
5.604;13.98;17.8;554400;5,544;
6.153;13.15;17.8;621600;6,216;
6.782;6.68;15.2;672000;6,72;
6.556;4.56;15.2;625800;6,258;
7.185;5.39;15.2;732900;7,329;
6.951;5.1;15.2;777000;7,77;
6.739;4.69;15.2;640500;6,405;
7.178;2.87;15.2;764400;7,644;
6.8;5.03;15.6;653100;6,531;
6.604;4.38;15.6;611100;6,111;
7.287;4.08;12.6;699300;6,993;
7.107;8.61;12.6;636300;6,363;
7.274;6.62;12.6;726600;7,266;
6.975;4.56;17.0;732900;7,329;
7.135;4.45;17.0;690900;6,909;
6.162;7.43;14.7;506100;5,061;
7.61;3.11;14.7;888300;8,883;
7.853;3.81;14.7;1018500;10,185;
5.891;10.87;18.6;474600;4,746;
6.326;10.97;18.6;512400;5,124;
5.783;18.06;18.6;472500;4,725;
6.064;14.66;18.6;512400;5,124;
5.344;23.09;18.6;420000;4,2;
5.96;17.27;18.6;455700;4,557;
5.404;23.98;18.6;405300;4,053;
5.807;16.03;18.6;470400;4,704;
6.375;9.38;18.6;590100;5,901;
5.412;29.55;18.6;497700;4,977;
6.182;9.47;18.6;525000;5,25;
5.888;13.51;16.4;489300;4,893;
6.642;9.69;16.4;602700;6,027;
5.951;17.92;16.4;451500;4,515;
6.373;10.5;16.4;483000;4,83;
6.951;9.71;17.4;560700;5,607;
6.164;21.46;17.4;455700;4,557;
6.879;9.93;17.4;577500;5,775;
6.618;7.6;17.4;632100;6,321;
8.266;4.14;17.4;940800;9,408;
8.04;3.13;17.4;789600;7,896;
7.163;6.36;17.4;663600;6,636;
7.686;3.92;17.4;980700;9,807;
6.552;3.76;17.4;661500;6,615;
5.981;11.65;17.4;510300;5,103;
7.412;5.25;17.4;665700;6,657;
8.337;2.47;17.4;875700;8,757;
8.247;3.95;17.4;1014300;10,143;
6.726;8.05;17.4;609000;6,09;
6.086;10.88;17.4;504000;5,04;
6.631;9.54;17.4;527100;5,271;
7.358;4.73;17.4;661500;6,615;
6.481;6.36;16.6;497700;4,977;
6.606;7.37;16.6;489300;4,893;
6.897;11.38;16.6;462000;4,62;
6.095;12.4;16.6;422100;4,221;
6.358;11.22;16.6;466200;4,662;
6.393;5.19;16.6;497700;4,977;
5.593;12.5;19.1;369600;3,696;
5.605;18.46;19.1;388500;3,885;
6.108;9.16;19.1;510300;5,103;
6.226;10.15;19.1;430500;4,305;
6.433;9.52;19.1;514500;5,145;
6.718;6.56;19.1;550200;5,502;
6.487;5.9;19.1;512400;5,124;
6.438;3.59;19.1;520800;5,208;
6.957;3.53;19.1;621600;6,216;
8.259;3.54;19.1;898800;8,988;
6.108;6.57;16.4;459900;4,599;
5.876;9.25;16.4;438900;4,389;
7.454;3.11;15.9;924000;9,24;
7.333;7.79;13.0;756000;7,56;
6.842;6.9;13.0;632100;6,321;
7.203;9.59;13.0;709800;7,098;
7.52;7.26;13.0;905100;9,051;
8.398;5.91;13.0;1024800;10,248;
7.327;11.25;13.0;651000;6,51;
7.206;8.1;13.0;766500;7,665;
5.56;10.45;13.0;478800;4,788;
7.014;14.79;13.0;644700;6,447;
7.47;3.16;13.0;913500;9,135;
5.92;13.65;18.6;434700;4,347;
5.856;13.0;18.6;443100;4,431;
6.24;6.59;18.6;529200;5,292;
6.538;7.73;18.6;512400;5,124;
7.691;6.58;18.6;739200;7,392;
6.758;3.53;17.6;680400;6,804;
6.854;2.98;17.6;672000;6,72;
7.267;6.05;17.6;697200;6,972;
6.826;4.16;17.6;695100;6,951;
6.482;7.19;17.6;611100;6,111;
6.812;4.85;14.9;737100;7,371;
7.82;3.76;14.9;953400;9,534;
6.968;4.59;14.9;743400;7,434;
7.645;3.01;14.9;966000;9,66;
7.088;7.85;15.3;676200;6,762;
6.453;8.23;15.3;462000;4,62;
6.23;12.93;18.2;422100;4,221;
6.209;7.14;16.6;487200;4,872;
6.315;7.6;16.6;468300;4,683;
6.565;9.51;16.6;520800;5,208;
6.861;3.33;19.2;598500;5,985;
7.148;3.56;19.2;783300;7,833;
6.63;4.7;19.2;585900;5,859;
6.127;8.58;16.0;501900;5,019;
6.009;10.4;16.0;455700;4,557;
6.678;6.27;16.0;600600;6,006;
6.549;7.39;16.0;569100;5,691;
5.79;15.84;16.0;426300;4,263;
6.345;4.97;14.8;472500;4,725;
7.041;4.74;14.8;609000;6,09;
6.871;6.07;14.8;520800;5,208;
6.59;9.5;16.1;462000;4,62;
6.495;8.67;16.1;554400;5,544;
6.982;4.86;16.1;695100;6,951;
7.236;6.93;18.4;758100;7,581;
6.616;8.93;18.4;596400;5,964;
7.42;6.47;18.4;701400;7,014;
6.849;7.53;18.4;592200;5,922;
6.635;4.54;18.4;478800;4,788;
5.972;9.97;18.4;426300;4,263;
4.973;12.64;18.4;338100;3,381;
6.122;5.98;18.4;464100;4,641;
6.023;11.72;18.4;407400;4,074;
6.266;7.9;18.4;453600;4,536;
6.567;9.28;18.4;499800;4,998;
5.705;11.5;18.4;340200;3,402;
5.914;18.33;18.4;373800;3,738;
5.782;15.94;18.4;415800;4,158;
6.382;10.36;18.4;485100;4,851;
6.113;12.73;18.4;441000;4,41;
6.426;7.2;19.6;499800;4,998;
6.376;6.87;19.6;485100;4,851;
6.041;7.7;19.6;428400;4,284;
5.708;11.74;19.6;388500;3,885;
6.415;6.12;19.6;525000;5,25;
6.431;5.08;19.6;516600;5,166;
6.312;6.15;19.6;483000;4,83;
6.083;12.79;19.6;466200;4,662;
5.868;9.97;16.9;405300;4,053;
6.333;7.34;16.9;474600;4,746;
6.144;9.09;16.9;415800;4,158;
5.706;12.43;16.9;359100;3,591;
6.031;7.83;16.9;407400;4,074;
6.316;5.68;20.2;466200;4,662;
6.31;6.75;20.2;434700;4,347;
6.037;8.01;20.2;443100;4,431;
5.869;9.8;20.2;409500;4,095;
5.895;10.56;20.2;388500;3,885;
6.059;8.51;20.2;432600;4,326;
5.985;9.74;20.2;399000;3,99;
5.968;9.29;20.2;392700;3,927;
7.241;5.49;15.5;686700;6,867;
6.54;8.65;15.9;346500;3,465;
6.696;7.18;17.6;501900;5,019;
6.874;4.61;17.6;655200;6,552;
6.014;10.53;18.8;367500;3,675;
5.898;12.67;18.8;361200;3,612;
6.516;6.36;17.9;485100;4,851;
6.635;5.99;17.0;514500;5,145;
6.939;5.89;19.7;558600;5,586;
6.49;5.98;19.7;480900;4,809;
6.579;5.49;18.3;506100;5,061;
5.884;7.79;18.3;390600;3,906;
6.728;4.5;17.0;632100;6,321;
5.663;8.05;22.0;382200;3,822;
5.936;5.57;22.0;432600;4,326;
6.212;17.6;20.2;373800;3,738;
6.395;13.27;20.2;455700;4,557;
6.127;11.48;20.2;476700;4,767;
6.112;12.67;20.2;474600;4,746;
6.398;7.79;20.2;525000;5,25;
6.251;14.19;20.2;417900;4,179;
5.362;10.19;20.2;436800;4,368;
5.803;14.64;20.2;352800;3,528;
3.561;7.12;20.2;577500;5,775;
4.963;14.0;20.2;459900;4,599;
3.863;13.33;20.2;485100;4,851;
4.906;34.77;20.2;289800;2,898;
4.138;37.97;20.2;289800;2,898;
7.313;13.44;20.2;315000;3,15;
6.649;23.24;20.2;291900;2,919;
6.794;21.24;20.2;279300;2,793;
6.38;23.69;20.2;275100;2,751;
6.223;21.78;20.2;214200;2,142;
6.968;17.21;20.2;218400;2,184;
6.545;21.08;20.2;228900;2,289;
5.536;23.6;20.2;237300;2,373;
5.52;24.56;20.2;258300;2,583;
4.368;30.63;20.2;184800;1,848;
5.277;30.81;20.2;151200;1,512;
4.652;28.28;20.2;220500;2,205;
5.0;31.99;20.2;155400;1,554;
4.88;30.62;20.2;214200;2,142;
5.39;20.85;20.2;241500;2,415;
5.713;17.11;20.2;317100;3,171;
6.051;18.76;20.2;487200;4,872;
5.036;25.68;20.2;203700;2,037;
6.193;15.17;20.2;289800;2,898;
5.887;16.35;20.2;266700;2,667;
6.471;17.12;20.2;275100;2,751;
6.405;19.37;20.2;262500;2,625;
5.747;19.92;20.2;178500;1,785;
5.453;30.59;20.2;105000;1,05;
5.852;29.97;20.2;132300;1,323;
5.987;26.77;20.2;117600;1,176;
6.343;20.32;20.2;151200;1,512;
6.404;20.31;20.2;254100;2,541;
5.349;19.77;20.2;174300;1,743;
5.531;27.38;20.2;178500;1,785;
5.683;22.98;20.2;105000;1,05;
4.138;23.34;20.2;249900;2,499;
5.608;12.13;20.2;585900;5,859;
5.617;26.4;20.2;361200;3,612;
6.852;19.78;20.2;577500;5,775;
5.757;10.11;20.2;315000;3,15;
6.657;21.22;20.2;361200;3,612;
4.628;34.37;20.2;375900;3,759;
5.155;20.08;20.2;342300;3,423;
4.519;36.98;20.2;147000;1,47;
6.434;29.05;20.2;151200;1,512;
6.782;25.79;20.2;157500;1,575;
5.304;26.64;20.2;218400;2,184;
5.957;20.62;20.2;184800;1,848;
6.824;22.74;20.2;176400;1,764;
6.411;15.02;20.2;350700;3,507;
6.006;15.7;20.2;298200;2,982;
5.648;14.1;20.2;436800;4,368;
6.103;23.29;20.2;281400;2,814;
5.565;17.16;20.2;245700;2,457;
5.896;24.39;20.2;174300;1,743;
5.837;15.69;20.2;214200;2,142;
6.202;14.52;20.2;228900;2,289;
6.193;21.52;20.2;231000;2,31;
6.38;24.08;20.2;199500;1,995;
6.348;17.64;20.2;304500;3,045;
6.833;19.69;20.2;296100;2,961;
6.425;12.03;20.2;338100;3,381;
6.436;16.22;20.2;300300;3,003;
6.208;15.17;20.2;245700;2,457;
6.629;23.27;20.2;281400;2,814;
6.461;18.05;20.2;201600;2,016;
6.152;26.45;20.2;182700;1,827;
5.935;34.02;20.2;176400;1,764;
5.627;22.88;20.2;268800;2,688;
5.818;22.11;20.2;220500;2,205;
6.406;19.52;20.2;359100;3,591;
6.219;16.59;20.2;386400;3,864;
6.485;18.85;20.2;323400;3,234;
5.854;23.79;20.2;226800;2,268;
6.459;23.98;20.2;247800;2,478;
6.341;17.79;20.2;312900;3,129;
6.251;16.44;20.2;264600;2,646;
6.185;18.13;20.2;296100;2,961;
6.417;19.31;20.2;273000;2,73;
6.749;17.44;20.2;281400;2,814;
6.655;17.73;20.2;319200;3,192;
6.297;17.27;20.2;338100;3,381;
7.393;16.74;20.2;373800;3,738;
6.728;18.71;20.2;312900;3,129;
6.525;18.13;20.2;296100;2,961;
5.976;19.01;20.2;266700;2,667;
5.936;16.94;20.2;283500;2,835;
6.301;16.23;20.2;312900;3,129;
6.081;14.7;20.2;420000;4,2;
6.701;16.42;20.2;344400;3,444;
6.376;14.65;20.2;371700;3,717;
6.317;13.99;20.2;409500;4,095;
6.513;10.29;20.2;424200;4,242;
6.209;13.22;20.2;449400;4,494;
5.759;14.13;20.2;417900;4,179;
5.952;17.15;20.2;399000;3,99;
6.003;21.32;20.2;401100;4,011;
5.926;18.13;20.2;401100;4,011;
5.713;14.76;20.2;422100;4,221;
6.167;16.29;20.2;417900;4,179;
6.229;12.87;20.2;411600;4,116;
6.437;14.36;20.2;487200;4,872;
6.98;11.66;20.2;625800;6,258;
5.427;18.14;20.2;289800;2,898;
6.162;24.1;20.2;279300;2,793;
6.484;18.68;20.2;350700;3,507;
5.304;24.91;20.2;252000;2,52;
6.185;18.03;20.2;306600;3,066;
6.229;13.11;20.2;449400;4,494;
6.242;10.74;20.2;483000;4,83;
6.75;7.74;20.2;497700;4,977;
7.061;7.01;20.2;525000;5,25;
5.762;10.42;20.2;457800;4,578;
5.871;13.34;20.2;432600;4,326;
6.312;10.58;20.2;445200;4,452;
6.114;14.98;20.2;401100;4,011;
5.905;11.45;20.2;432600;4,326;
5.454;18.06;20.1;319200;3,192;
5.414;23.97;20.1;147000;1,47;
5.093;29.68;20.1;170100;1,701;
5.983;18.07;20.1;285600;2,856;
5.983;13.35;20.1;422100;4,221;
5.707;12.01;19.2;457800;4,578;
5.926;13.59;19.2;514500;5,145;
5.67;17.6;19.2;485100;4,851;
5.39;21.14;19.2;413700;4,137;
5.794;14.1;19.2;384300;3,843;
6.019;12.92;19.2;445200;4,452;
5.569;15.1;19.2;367500;3,675;
6.027;14.33;19.2;352800;3,528;
6.593;9.67;21.0;470400;4,704;
6.12;9.08;21.0;432600;4,326;
6.976;5.64;21.0;501900;5,019;
6.794;6.48;21.0;462000;4,62;
